status,selected_side,stat,period,line,conditional_on_appearance,hat_m,expected_minutes,hat_p,g,mu,beta,bundle_hash,n_draws,seed,player_name,player_id,book,commence_time,quote_ts,feature_as_of,season_type,over_model_probability,over_raw_implied_probability,over_vig_free_probability,over_edge,over_ev,under_model_probability,under_raw_implied_probability,under_vig_free_probability,under_edge,under_ev,reason
PRICED,over,PTS,full_game,12.5,True,24.841453552246094,24.820706058119114,13.153303146362305,0.08412677494648925,13.237429921308793,0.5327606694856868,78bf92243997831090f4e81bdc0a5d4d7ba172f90b72e1ee43b198174beb3eea,4000,42,Reed Sheppard,1642263,Bovada,2026-02-11,2026-02-10 14:47:44,2026-02-10,Regular Season,0.5455,0.35714285714285715,0.3346265761396702,0.2108734238603298,0.5273999999999999,0.4545,0.7101449275362319,0.6653734238603297,-0.2108734238603297,-0.35998979591836733,
PRICED,over,PTS,full_game,13.5,True,22.980871200561523,23.18365704640076,13.551445007324219,-0.04473851957369768,13.50670648775052,0.4915060991395564,78bf92243997831090f4e81bdc0a5d4d7ba172f90b72e1ee43b198174beb3eea,4000,42,Keldon Johnson,1629640,Bovada,2026-02-11,2026-02-10 14:47:44,2026-02-10,Regular Season,0.4825,0.3225806451612903,0.30256012412723043,0.17993987587276955,0.4957499999999999,0.5175000000000001,0.7435897435897436,0.6974398758727697,-0.1799398758727696,-0.304051724137931,
PRICED,over,PTS,full_game,6.5,True,21.780101776123047,21.982887621962284,7.237109661102295,-0.006584975716871184,7.230524685385424,0.4915060991395564,78bf92243997831090f4e81bdc0a5d4d7ba172f90b72e1ee43b198174beb3eea,4000,42,Oso Ighodaro,1642345,Bovada,2026-02-11,2026-02-10 14:47:44,2026-02-10,Regular Season,0.55225,0.37037037037037035,0.34700315457413244,0.20524684542586757,0.49107500000000015,0.44775,0.696969696969697,0.6529968454258674,-0.20524684542586746,-0.35757608695652177,
PRICED,over,PTS,full_game,14.5,True,25.61603546142578,25.595287967298802,19.277191162109375,0.036710908544042395,19.313902070653416,0.5327606694856868,78bf92243997831090f4e81bdc0a5d4d7ba172f90b72e1ee43b198174beb3eea,4000,42,Franz Wagner,1630532,FanDuel,2026-02-12,2026-02-10 14:47:44,2026-02-10,Regular Season,0.75,0.504950495049505,0.4718423169750604,0.2781576830249396,0.4852941176470589,0.25,0.5652173913043478,0.5281576830249397,-0.2781576830249397,-0.5576923076923077,
PRICED,over,PTS,full_game,11.5,True,26.543115615844727,26.522368121717747,11.435935974121094,0.14697996836226443,11.582915942483359,0.5327606694856868,78bf92243997831090f4e81bdc0a5d4d7ba172f90b72e1ee43b198174beb3eea,4000,42,Jordan Goodwin,1630692,Bovada,2026-02-11,2026-02-10 14:47:44,2026-02-10,Regular Season,0.49475,0.3333333333333333,0.3125,0.18225000000000002,0.48425000000000007,0.50525,0.7333333333333333,0.6875,-0.18225000000000002,-0.3110227272727273,
PRICED,over,PTS,full_game,11.5,True,24.841453552246094,24.820706058119114,13.153303146362305,0.08412677494648925,13.237429921308793,0.5327606694856868,78bf92243997831090f4e81bdc0a5d4d7ba172f90b72e1ee43b198174beb3eea,4000,42,Reed Sheppard,1642263,Bovada,2026-02-11,2026-02-10 14:47:44,2026-02-10,Regular Season,0.60975,0.4166666666666667,0.39094650205761317,0.21880349794238685,0.46340000000000003,0.39025,0.6491228070175439,0.6090534979423868,-0.21880349794238685,-0.39880405405405406,
PRICED,over,PTS,full_game,11.5,True,26.756629943847656,26.735882449720677,11.537163734436035,0.03702039253973528,11.574184126975771,0.5327606694856868,78bf92243997831090f4e81bdc0a5d4d7ba172f90b72e1ee43b198174beb3eea,4000,42,Julian Champagnie,1630577,Bovada,2026-02-11,2026-02-10 14:47:44,2026-02-10,Regular Season,0.4775,0.3333333333333333,0.3125,0.16499999999999998,0.4325,0.5225,0.7333333333333333,0.6875,-0.16500000000000004,-0.2874999999999999,
PRICED,over,PTS,full_game,12.5,True,22.980871200561523,23.18365704640076,13.551445007324219,-0.04473851957369768,13.50670648775052,0.4915060991395564,78bf92243997831090f4e81bdc0a5d4d7ba172f90b72e1ee43b198174beb3eea,4000,42,Keldon Johnson,1629640,Bovada,2026-02-11,2026-02-10 14:47:44,2026-02-10,Regular Season,0.55075,0.38461538461538464,0.36041189931350115,0.1903381006864988,0.43194999999999995,0.44925000000000004,0.6825396825396826,0.6395881006864989,-0.1903381006864988,-0.3417965116279069,
PRICED,over,PTS,full_game,8.5,True,26.65955352783203,26.638806033705052,10.706583023071289,0.09390418693592344,10.800487210007212,0.5327606694856868,78bf92243997831090f4e81bdc0a5d4d7ba172f90b72e1ee43b198174beb3eea,4000,42,Harrison Barnes,203084,BetRivers,2026-02-11,2026-02-10 14:47:44,2026-02-10,Regular Season,0.64375,0.45454545454545453,0.4208701134930643,0.22287988650693574,0.41625000000000023,0.35624999999999996,0.6254681647940075,0.5791298865069356,-0.2228798865069357,-0.4304266467065869,
PRICED,over,PTS,full_game,10.5,True,26.543115615844727,26.522368121717747,11.435935974121094,0.14697996836226443,11.582915942483359,0.5327606694856868,78bf92243997831090f4e81bdc0a5d4d7ba172f90b72e1ee43b198174beb3eea,4000,42,Jordan Goodwin,1630692,Bovada,2026-02-11,2026-02-10 14:47:44,2026-02-10,Regular Season,0.56175,0.4,0.375,0.18674999999999997,0.40437499999999993,0.43825000000000003,0.6666666666666666,0.625,-0.18674999999999997,-0.34262499999999996,
