BOOKMAKER,CATEGORY,NAME,OVER/UNDER,LINE,ODDS,COMMENCE_TIME,LAST_UPDATE,DATA_PULLED_AT
FanDuel,player_points,Ausar Thompson,Over,9.5,-130,2026-03-25,2026-03-25T20:18:31Z,2026-03-25 13:19:22
FanDuel,player_points,Ausar Thompson,Under,9.5,-102,2026-03-25,2026-03-25T20:18:31Z,2026-03-25 13:19:22
FanDuel,player_points,Caris LeVert,Over,7.5,-122,2026-03-25,2026-03-25T20:18:31Z,2026-03-25 13:19:22
FanDuel,player_points,Caris LeVert,Under,7.5,-108,2026-03-25,2026-03-25T20:18:31Z,2026-03-25 13:19:22
FanDuel,player_points,Jalen Duren,Over,22.5,-118,2026-03-25,2026-03-25T20:18:31Z,2026-03-25 13:19:22
FanDuel,player_points,Jalen Duren,Under,22.5,-108,2026-03-25,2026-03-25T20:18:31Z,2026-03-25 13:19:22
FanDuel,player_points,Paul Reed Jr,Over,8.5,-118,2026-03-25,2026-03-25T20:18:31Z,2026-03-25 13:19:22
FanDuel,player_points,Paul Reed Jr,Under,8.5,-108,2026-03-25,2026-03-25T20:18:31Z,2026-03-25 13:19:22
FanDuel,player_points,Daniss Jenkins,Over,16.5,-118,2026-03-25,2026-03-25T20:18:31Z,2026-03-25 13:19:22
FanDuel,player_points,Daniss Jenkins,Under,16.5,-108,2026-03-25,2026-03-25T20:18:31Z,2026-03-25 13:19:22
FanDuel,player_points,Jonathan Kuminga,Over,11.5,-128,2026-03-25,2026-03-25T20:18:31Z,2026-03-25 13:19:22
FanDuel,player_points,Jonathan Kuminga,Under,11.5,100,2026-03-25,2026-03-25T20:18:31Z,2026-03-25 13:19:22
FanDuel,player_points,Tobias Harris,Over,13.5,-125,2026-03-25,2026-03-25T20:18:31Z,2026-03-25 13:19:22
FanDuel,player_points,Tobias Harris,Under,13.5,-106,2026-03-25,2026-03-25T20:18:31Z,2026-03-25 13:19:22
FanDuel,player_points,Dyson Daniels,Over,11.5,102,2026-03-25,2026-03-25T20:18:31Z,2026-03-25 13:19:22
FanDuel,player_points,Dyson Daniels,Under,11.5,-130,2026-03-25,2026-03-25T20:18:31Z,2026-03-25 13:19:22
FanDuel,player_points,Zaccharie Risacher,Over,6.5,-113,2026-03-25,2026-03-25T20:18:31Z,2026-03-25 13:19:22
FanDuel,player_points,Zaccharie Risacher,Under,6.5,-113,2026-03-25,2026-03-25T20:18:31Z,2026-03-25 13:19:22
FanDuel,player_points,C.J. McCollum,Over,17.5,-102,2026-03-25,2026-03-25T20:18:31Z,2026-03-25 13:19:22
FanDuel,player_points,C.J. McCollum,Under,17.5,-130,2026-03-25,2026-03-25T20:18:31Z,2026-03-25 13:19:22
FanDuel,player_points,Duncan Robinson,Over,11.5,-120,2026-03-25,2026-03-25T20:18:31Z,2026-03-25 13:19:22
FanDuel,player_points,Duncan Robinson,Under,11.5,-106,2026-03-25,2026-03-25T20:18:31Z,2026-03-25 13:19:22
FanDuel,player_points,Onyeka Okongwu,Over,13.5,-104,2026-03-25,2026-03-25T20:18:31Z,2026-03-25 13:19:22
